Date,close,high,low,open,volume
2021-01-08,16.225000381469727,22.25,6.5,6.5,18243
2021-01-11,12.25,16.25,7.625,16.25,6235
2021-01-12,11.75,12.5,10.0,12.5,951
2021-01-13,11.25,12.25,8.75,12.25,2461
2021-01-14,9.5,11.25,9.5,11.25,1795
2021-01-15,11.75,11.75,9.75,11.25,1474
2021-01-19,12.0,12.0,10.0,11.75,1808
2021-01-20,11.625,12.25,10.0,12.25,2984
2021-01-21,10.75,11.75,9.75,9.75,2125
2021-01-22,10.875,11.75,10.125,10.75,978
2021-01-25,11.25,11.75,10.0,11.75,3390
2021-01-26,10.0,11.0,9.2524995803833,10.5,3164
2021-01-27,12.0,12.0,10.262499809265137,11.0,2955
2021-01-28,10.625,13.3125,10.375,12.25,939
2021-01-29,14.5,14.5,9.024999618530273,11.25,3505
2021-02-01,12.75,15.0,10.074999809265137,14.5,1814
2021-02-02,11.975000381469727,15.0,10.25,15.0,1292
2021-02-03,11.625,12.5,10.5024995803833,12.5,3407
2021-02-04,15.0,23.0,12.227499961853027,12.5,26076
2021-02-05,19.75,20.75,15.25,19.5,10379
2021-02-08,17.5,23.75,16.375,20.0,11069
2021-02-09,21.5,27.5,16.5,17.5,18872
2021-02-10,27.0,30.5,21.25,21.674999237060547,16309
2021-02-11,22.875,33.75,16.75,27.0,8885
2021-02-12,22.873750686645508,24.75,20.25,24.75,4206
2021-02-16,23.75,26.25,22.875,23.0,5870
2021-02-17,18.0,25.25,10.25,23.5,13040
2021-02-18,17.5,20.25,15.5,19.125,3074
2021-02-19,13.274999618530273,20.25,12.5,20.25,3639
2021-02-22,12.25,15.5,10.2524995803833,15.5,13109
2021-02-23,10.5,13.75,10.5,13.75,4237
2021-02-24,13.5,13.5,10.75,10.75,4868
2021-02-25,12.5,15.0,11.2524995803833,14.25,3648
2021-02-26,15.0,16.0,11.2524995803833,12.5,2851
2021-03-01,15.0,15.0,13.0,15.0,7941
2021-03-02,17.5,23.25,15.5,17.5,18815
2021-03-03,17.875,21.25,17.25,18.75,14392
2021-03-04,15.5024995803833,20.0,13.412500381469727,20.0,5533
2021-03-05,17.5,18.75,15.0,15.5,11481
2021-03-08,15.5,17.5,14.75,17.5,5729
2021-03-09,15.75,17.5,13.75,16.625,8043
2021-03-10,14.600000381469727,17.0,13.875,17.0,3024
2021-03-11,14.899999618530273,16.25,13.75,15.25,3930
2021-03-12,15.123749732971191,17.459999084472656,14.5,17.417499542236328,3065
2021-03-15,15.25,16.975000381469727,14.25,16.225000381469727,3616
2021-03-16,14.880999565124512,17.0,14.74625015258789,17.0,3001
2021-03-17,14.2475004196167,15.0,13.774999618530273,14.875,2460
2021-03-18,13.412500381469727,14.0,13.412500381469727,14.0,2630
2021-03-19,12.375,14.0,11.2524995803833,14.0,6742
2021-03-22,12.0,13.0,11.5,12.375,1531
2021-03-23,11.923999786376953,12.3725004196167,11.2524995803833,12.0,1125
2021-03-24,11.75,12.5,11.125,12.5,3183
2021-03-25,10.5,13.25,10.0,11.5,2988
2021-03-26,10.512499809265137,11.25,10.512499809265137,10.875,677
2021-03-29,10.662500381469727,11.25,10.0,10.0,1502
2021-03-30,10.0,10.75,9.25,10.02750015258789,2411
2021-03-31,9.765000343322754,10.5,9.5,10.5,2219
2021-04-01,9.25,10.5,9.25,9.5,1988
2021-04-05,9.75,10.5,9.25,9.625,1159
2021-04-06,10.0,10.425000190734863,9.25,10.0,1585
2021-04-07,9.875,10.5,9.300000190734863,10.5,1727
2021-04-08,9.475000381469727,10.0,8.84749984741211,9.25,2522
2021-04-09,9.0,9.75,9.0,9.25,1061
2021-04-12,9.625,9.625,8.774999618530273,9.25,1748
2021-04-13,9.0,9.710000038146973,9.0,9.0,1069
2021-04-14,9.125,9.375,8.774999618530273,8.800000190734863,1391
2021-04-15,8.774999618530273,9.25,8.774999618530273,9.25,651
2021-04-16,8.875,9.5,8.875,9.274999618530273,1418
2021-04-19,9.0,9.0,6.75,8.875,2053
2021-04-20,8.75,9.0,8.0024995803833,9.0,1712
2021-04-21,8.140000343322754,9.0,8.0,8.25,1009
2021-04-22,8.75,9.5,8.25,8.25,1284
2021-04-23,9.25,9.5,8.5,9.0,705
2021-04-26,8.936249732971191,9.5,8.0024995803833,8.050000190734863,352
2021-04-27,8.149999618530273,9.7475004196167,8.0,8.875,863
2021-04-28,9.5,9.75,8.0,9.75,787
2021-04-29,9.375,10.0,8.625,10.0,891
2021-04-30,9.125,9.125,7.5,8.0,455
2021-05-03,8.5625,9.25,6.25,8.75,2048
2021-05-04,10.0,10.0,7.525000095367432,7.525000095367432,4367
2021-05-05,10.401249885559082,13.0,7.775000095367432,7.775000095367432,5512
2021-05-06,9.5,10.75,7.525000095367432,7.525000095367432,920
2021-05-07,9.75,10.75,9.375,10.125,546
2021-05-10,9.494999885559082,9.5,8.255000114440918,8.876250267028809,884
2021-05-11,8.0,8.75,7.5,8.75,4641
2021-05-12,10.375,13.4975004196167,8.5,8.5,2995
2021-05-13,9.375,11.25,9.375,10.0,1092
2021-05-14,9.875,10.0,8.324999809265137,10.0,935
2021-05-17,8.755000114440918,10.0,8.755000114440918,9.875,116
2021-05-18,8.75,10.0,8.75,8.774999618530273,557
2021-05-19,10.0,10.0,8.75,9.975000381469727,541
2021-05-20,10.0625,10.375,8.774999618530273,8.774999618530273,469
2021-05-21,10.125,10.125,10.0,10.0,315
2021-05-24,9.0,10.125,9.0,10.0,797
2021-05-25,10.0,10.5,9.0024995803833,9.744999885559082,578
2021-05-26,10.5,10.75,10.0,10.0,2694
2021-05-27,10.5,10.75,10.0,10.75,1424
2021-05-28,10.625,10.625,9.0,9.0,761
2021-06-01,10.4375,10.625,9.9975004196167,9.9975004196167,1378
2021-06-02,9.5649995803833,10.5,9.5649995803833,10.4375,784
2021-06-03,9.75,10.25,9.46500015258789,9.46500015258789,295
2021-06-04,10.25,10.25,9.75,9.850000381469727,558
2021-06-07,9.994999885559082,10.75,9.75,10.75,2071
2021-06-08,10.54224967956543,12.25,10.14525032043457,11.7475004196167,753
2021-06-09,11.225000381469727,13.5,9.880000114440918,13.5,737
2021-06-10,10.25,12.25,9.875,9.899999618530273,4517
2021-06-11,11.0,12.25,9.75,9.75,1314
2021-06-14,10.02750015258789,12.25,9.75,12.25,985
2021-06-15,9.994999885559082,12.25,9.5,12.25,1848
2021-06-16,10.25,10.25,9.5,9.507499694824219,2479
2021-06-17,9.875,10.0,9.5,10.0,605
2021-06-18,10.25,10.25,9.5024995803833,9.5024995803833,1372
2021-06-21,10.125,11.2475004196167,10.0,10.25,1770
2021-06-22,10.244999885559082,10.779999732971191,10.0,10.0,645
2021-06-23,10.0,11.25,9.522500038146973,10.0,2076
2021-06-24,10.0,10.5,9.25,10.0,1499
2021-06-25,10.322375297546387,10.322375297546387,9.5,9.5,921
2021-06-28,10.21875,10.782625198364258,9.994999885559082,10.5,1376
2021-06-29,10.59000015258789,11.5,10.270000457763672,11.5,799
2021-06-30,9.4375,11.0,9.248749732971191,10.59000015258789,2438
2021-07-01,9.875,10.0,9.25,9.287500381469727,641
2021-07-02,9.25,11.25,9.25,11.25,2138
2021-07-06,9.2524995803833,10.251250267028809,9.2524995803833,10.251250267028809,408
2021-07-07,9.630000114440918,9.94212532043457,9.25,9.25,172
2021-07-08,9.25,10.54675006866455,9.25,9.869999885559082,500
2021-07-09,9.869999885559082,10.2475004196167,9.25,10.2475004196167,377
2021-07-12,9.5,9.869999885559082,9.5,9.869999885559082,474
2021-07-13,9.5,9.898374557495117,9.25,9.5,679
2021-07-14,9.5,9.5,9.5,9.5,450
2021-07-15,10.0,10.25,9.25,9.875,1595
2021-07-16,9.512499809265137,10.374250411987305,8.7524995803833,9.949999809265137,1349
2021-07-19,8.25,9.75,8.25,9.75,2059
2021-07-20,9.317625045776367,9.600250244140625,8.0,9.600250244140625,2819
2021-07-21,9.09262466430664,9.09262466430664,9.09262466430664,9.09262466430664,88
2021-07-22,9.7475004196167,10.109999656677246,9.092499732971191,9.092499732971191,732
2021-07-23,9.5,10.0,7.5,8.274999618530273,1006
2021-07-26,8.755374908447266,9.574999809265137,7.5,7.525000095367432,1639
2021-07-27,9.109874725341797,9.9975004196167,8.02750015258789,8.66812515258789,1763
2021-07-28,9.066624641418457,9.7475004196167,8.555000305175781,9.051250457763672,232
2021-07-29,9.0625,9.063750267028809,7.510000228881836,8.3100004196167,1153
2021-07-30,9.0625,9.130999565124512,9.0625,9.0625,266
2021-08-02,9.9975004196167,9.9975004196167,7.525000095367432,9.75,824
2021-08-03,9.610250473022461,10.0,8.350000381469727,9.092499732971191,119
2021-08-04,7.75,9.975000381469727,7.75,9.75,742
2021-08-05,9.01462459564209,9.742500305175781,7.75,7.75,257
2021-08-06,8.0,9.207500457763672,8.0,9.207500457763672,380
2021-08-09,8.149999618530273,9.975000381469727,8.0,8.0,233
2021-08-10,9.011249542236328,10.109999656677246,8.399999618530273,10.109999656677246,113
2021-08-11,9.869999885559082,9.899999618530273,8.024999618530273,8.024999618530273,303
2021-08-12,8.952500343322754,9.857500076293945,8.398750305175781,9.857500076293945,590
2021-08-13,9.857500076293945,9.857500076293945,8.0,8.050000190734863,437
2021-08-16,9.25,9.725000381469727,9.25,9.725000381469727,458
2021-08-17,8.125,9.4975004196167,8.125,8.125,685
2021-08-19,7.669750213623047,9.0,7.5,8.25,3857
2021-08-20,7.588624954223633,8.25,7.525000095367432,7.525000095367432,273
2021-08-23,8.75,8.75,8.75,8.75,9
2021-08-24,8.5,8.744999885559082,8.5,8.744999885559082,106
2021-08-25,8.125,8.75,7.75,8.75,22
2021-08-26,7.75,8.25,7.5,7.5,271
2021-08-27,7.5,8.050000190734863,7.5,7.5,56
2021-08-30,8.494999885559082,8.600000381469727,7.7522501945495605,8.600000381469727,243
2021-08-31,9.0,9.0,8.051250457763672,8.186249732971191,173
2021-09-01,8.001250267028809,9.0,7.5,9.0,192
2021-09-02,8.0024995803833,8.75,7.257500171661377,8.75,96
2021-09-07,8.012499809265137,9.25,7.75,8.001250267028809,5508
2021-09-08,8.999750137329102,8.999750137329102,8.999750137329102,8.999750137329102,196
2021-09-09,9.25,9.75,9.0,9.0,1421
2021-09-10,9.25,9.5,8.274999618530273,8.274999618530273,727
2021-09-13,10.0,10.0,8.75,8.75,949
2021-09-14,9.5,10.25,9.5,9.75,5555
2021-09-15,9.537500381469727,9.875,8.524999618530273,8.524999618530273,238
2021-09-16,9.452500343322754,9.476249694824219,8.649999618530273,8.649999618530273,173
2021-09-17,10.0,10.0,10.0,10.0,56
2021-09-20,8.5,8.507499694824219,8.5,8.507499694824219,148
2021-09-21,8.800000190734863,8.800000190734863,8.5,8.5,16
2021-09-23,9.25,9.625,8.800000190734863,8.800000190734863,668
2021-09-24,8.75,10.0,8.162500381469727,9.75,3756
2021-09-27,8.75,8.75,8.75,8.75,4
2021-09-28,9.5,9.75,9.124750137329102,9.124750137329102,1437
2021-09-29,10.0,10.399999618530273,9.5,9.75,2249
2021-09-30,10.0,10.0,9.0,10.0,3676
2021-10-01,10.0,10.125,9.0,9.0,400
2021-10-04,9.75,10.126250267028809,9.75,10.0,2529
2021-10-05,10.0,10.25,9.75,10.0,2769
2021-10-06,10.25,10.25,9.574999809265137,9.574999809265137,2816
2021-10-07,10.0,10.0,8.899999618530273,9.0,674
2021-10-08,10.5,10.5,9.5024995803833,9.5024995803833,1678
2021-10-11,10.0024995803833,10.5,9.5,10.5,5076
2021-10-12,10.25,10.524999618530273,9.7524995803833,9.7524995803833,973
2021-10-13,9.75,10.25,9.75,10.25,1286
2021-10-14,10.201250076293945,10.574999809265137,9.899999618530273,9.899999618530273,198
2021-10-15,10.625,10.625,9.90250015258789,9.90250015258789,754
2021-10-18,10.550000190734863,12.5,10.0,12.5,2439
2021-10-19,10.751250267028809,11.5,10.5,11.0,1446
2021-10-20,10.007499694824219,11.0,10.007499694824219,10.262499809265137,208
2021-10-21,10.625,10.625,10.625,10.625,28
2021-10-22,9.34000015258789,10.25,9.34000015258789,10.25,62
2021-10-25,10.21875,10.21875,10.21875,10.21875,45
2021-10-26,9.824999809265137,10.140000343322754,8.774999618530273,8.999750137329102,633
2021-10-27,9.493749618530273,10.132124900817871,8.7524995803833,9.824999809265137,89
2021-10-29,10.114999771118164,10.114999771118164,8.75,9.0,624
2021-11-01,9.0024995803833,9.992500305175781,8.972749710083008,8.999750137329102,785
2021-11-02,8.75,9.3725004196167,8.75,9.3725004196167,278
2021-11-04,8.757499694824219,9.005000114440918,8.755000114440918,9.005000114440918,78
2021-11-05,9.994999885559082,9.994999885559082,8.755000114440918,8.755000114440918,2203
2021-11-08,9.25,9.25,8.81725025177002,8.81725025177002,320
2021-11-09,10.133000373840332,10.133000373840332,8.755000114440918,8.755000114440918,580
2021-11-10,9.5024995803833,9.5024995803833,9.5024995803833,9.5024995803833,60
2021-11-11,9.1274995803833,9.5,9.1274995803833,9.5,70
2021-11-12,8.755000114440918,8.774999618530273,8.75,8.755000114440918,519
2021-11-15,8.999750137329102,9.125,8.999750137329102,9.125,329
