Date,close,high,low,open,volume
2006-03-10,1365.0,1417.5,1356.25,1408.75,127
2006-03-13,1277.5,1417.5,1137.5,1417.5,230
2006-03-14,1277.5,1312.5,1251.25,1312.5,78
2006-03-15,1233.75,1312.5,1233.75,1312.5,114
2006-03-16,1251.25,1260.0,1233.75,1233.75,57
2006-03-17,1216.25,1268.75,1216.25,1242.5,170
2006-03-20,1260.0,1260.0,1242.5,1251.25,89
2006-03-21,1216.25,1260.0,1181.25,1251.25,262
2006-03-22,1207.5,1251.25,1181.25,1181.25,145
2006-03-23,1216.25,1251.25,1198.75,1216.25,30
2006-03-24,1225.0,1233.75,1207.5,1216.25,57
2006-03-27,1225.0,1242.5,1198.75,1207.5,89
2006-03-28,1242.5,1242.5,1198.75,1242.5,36
2006-03-29,1198.75,1242.5,1198.75,1242.5,40
2006-03-30,1207.5,1225.0,1198.75,1198.75,34
2006-03-31,1181.25,1216.25,1146.25,1216.25,45
2006-04-03,1155.0,1216.25,1146.25,1181.25,31
2006-04-04,1163.75,1181.25,1146.25,1146.25,21
2006-04-05,1172.5,1172.5,1163.75,1163.75,7
2006-04-06,1172.5,1172.5,1137.5,1163.75,9
2006-04-07,1172.5,1172.5,1155.0,1172.5,28
2006-04-10,1198.75,1242.5,1163.75,1163.75,518
2006-04-11,1163.75,1216.25,1155.0,1216.25,152
2006-04-12,1172.5,1172.5,1163.75,1163.75,60
2006-04-13,1190.0,1198.75,1163.75,1181.25,87
2006-04-17,1181.25,1198.75,1181.25,1198.75,146
2006-04-18,1146.25,1181.25,1137.5,1181.25,88
2006-04-19,1085.0,1146.25,1076.25,1146.25,93
2006-04-20,1058.75,1085.0,1058.75,1067.5,59
2006-04-21,1155.0,1155.0,1050.0,1050.0,83
2006-04-24,1155.0,1155.0,1058.75,1137.5,87
2006-04-25,1172.5,1181.25,1093.75,1146.25,72
2006-04-26,1155.0,1172.5,1120.0,1172.5,89
2006-04-27,1137.5,1155.0,1137.5,1155.0,51
2006-04-28,1111.25,1137.5,1085.0,1120.0,70
2006-05-01,1111.25,1111.25,1093.75,1102.5,22
2006-05-02,1085.0,1111.25,1085.0,1085.0,28
2006-05-03,1093.75,1093.75,1058.75,1085.0,61
2006-05-04,1128.75,1128.75,1023.75,1067.5,39
2006-05-05,1050.0,1093.75,1032.5,1093.75,21
2006-05-08,1093.75,1128.75,1050.0,1128.75,19
2006-05-09,1093.75,1128.75,1023.75,1128.75,20
2006-05-10,1023.75,1050.0,1023.75,1050.0,17
2006-05-11,1006.25,1023.75,1006.25,1023.75,11
2006-05-12,936.25,1006.25,936.25,1006.25,35
2006-05-15,1006.25,1015.0,918.75,927.5,38
2006-05-16,1006.25,1006.25,892.5,927.5,9
2006-05-17,962.5,1006.25,892.5,892.5,7
2006-05-18,962.5,962.5,962.5,962.5,7
2006-05-19,918.75,962.5,918.75,962.5,7
2006-05-22,875.0,918.75,787.5,918.75,26
2006-05-23,463.75,875.0,446.25,875.0,100
2006-05-24,656.25,743.75,463.75,463.75,26
2006-05-25,700.0,743.75,700.0,743.75,8
2006-05-26,700.0,743.75,700.0,743.75,2
2006-05-30,743.75,743.75,542.5,700.0,9
2006-05-31,743.75,743.75,743.75,743.75,1
2006-06-01,743.75,743.75,612.5,612.5,45
2006-06-02,743.75,743.75,743.75,743.75,0
2006-06-05,577.5,700.0,577.5,691.25,12
2006-06-06,656.25,700.0,612.5,700.0,12
2006-06-07,656.25,656.25,542.5,542.5,0
2006-06-08,542.5,656.25,542.5,656.25,19
2006-06-09,603.75,612.5,542.5,542.5,8
2006-06-12,542.5,603.75,542.5,542.5,3
2006-06-13,542.5,603.75,542.5,603.75,17
2006-06-14,533.75,577.5,533.75,568.75,16
2006-06-15,490.0,568.75,481.25,533.75,32
2006-06-16,542.5,568.75,490.0,490.0,4
2006-06-19,612.5,612.5,542.5,560.0,12
2006-06-20,568.75,603.75,568.75,603.75,1
2006-06-21,455.0,525.0,455.0,481.25,23
2006-06-22,455.0,481.25,455.0,455.0,8
2006-06-23,507.5,516.25,446.25,455.0,11
2006-06-26,507.5,507.5,507.5,507.5,0
2006-06-27,455.0,551.25,446.25,446.25,18
2006-06-28,507.5,516.25,446.25,516.25,2
2006-06-29,507.5,507.5,481.25,507.5,9
2006-06-30,481.25,507.5,446.25,446.25,11
2006-07-03,498.75,525.0,481.25,525.0,3
2006-07-05,525.0,883.75,481.25,883.75,3
2006-07-06,481.25,525.0,481.25,481.25,9
2006-07-07,481.25,481.25,481.25,481.25,3
2006-07-10,463.75,481.25,446.25,481.25,10
2006-07-11,463.75,463.75,463.75,463.75,3
2006-07-12,463.75,463.75,463.75,463.75,1
2006-07-13,463.75,463.75,463.75,463.75,0
2006-07-14,463.75,463.75,463.75,463.75,0
2006-07-17,481.25,481.25,463.75,481.25,9
2006-07-18,656.25,656.25,656.25,656.25,0
2006-07-19,525.0,612.5,525.0,612.5,10
2006-07-20,507.5,612.5,446.25,612.5,9
2006-07-21,656.25,656.25,446.25,656.25,1
2006-07-24,481.25,481.25,446.25,446.25,2
2006-07-25,481.25,656.25,455.0,455.0,10
2006-07-26,463.75,481.25,455.0,455.0,4
2006-07-27,455.0,463.75,455.0,455.0,1
2006-07-28,437.5,481.25,437.5,455.0,9
2006-07-31,656.25,656.25,437.5,437.5,1
2006-08-01,656.25,656.25,656.25,656.25,0
2006-08-02,437.5,437.5,437.5,437.5,0
2006-08-03,437.5,656.25,437.5,437.5,38
2006-08-04,446.25,446.25,437.5,446.25,5
2006-08-07,463.75,463.75,446.25,463.75,2
2006-08-08,437.5,446.25,437.5,446.25,13
2006-08-09,463.75,463.75,437.5,437.5,10
2006-08-10,437.5,463.75,437.5,437.5,1
2006-08-11,437.5,437.5,437.5,437.5,0
2006-08-14,437.5,446.25,437.5,446.25,4
2006-08-15,525.0,525.0,437.5,437.5,2
2006-08-16,525.0,525.0,525.0,525.0,0
2006-08-17,437.5,437.5,437.5,437.5,8
2006-08-18,446.25,446.25,393.75,393.75,11
2006-08-21,437.5,446.25,393.75,446.25,11
2006-08-22,446.25,446.25,446.25,446.25,0
