Date,close,high,low,open,volume
2012-02-22,444.5,444.5,444.5,444.5,0
2012-02-23,455.0,455.0,455.0,455.0,4
2012-02-24,444.5,455.0,444.5,455.0,10
2012-02-27,490.0,490.0,455.0,455.0,16
2012-02-28,497.0,497.0,479.5,490.0,15
2012-02-29,535.5,535.5,507.5,507.5,37
2012-03-01,595.0,612.5,535.5,535.5,50
2012-03-02,602.0,602.0,595.0,602.0,17
2012-03-05,595.0,602.0,542.5,602.0,29
2012-03-06,605.5,605.5,560.0,595.0,110
2012-03-07,605.5,605.5,605.5,605.5,3
2012-03-08,542.5,577.5,542.5,577.5,4
2012-03-09,595.0,602.0,549.5,549.5,9
2012-03-12,602.0,612.5,560.0,595.0,47
2012-03-13,563.5,616.0,563.5,602.0,23
2012-03-14,595.0,612.5,595.0,612.5,4
2012-03-15,595.0,612.5,595.0,595.0,7
2012-03-16,588.0,612.5,588.0,595.0,26
2012-03-19,588.0,588.0,588.0,588.0,1
2012-03-20,584.5,612.5,560.0,595.0,20
2012-03-21,609.0,609.0,577.5,577.5,17
2012-03-22,588.0,612.5,560.0,605.5,31
2012-03-23,588.0,619.5,588.0,619.5,28
2012-03-26,612.5,626.5,595.0,595.0,23
2012-03-27,630.0,630.0,602.0,619.5,15
2012-03-28,612.5,647.5,612.5,630.0,20
2012-03-29,637.0,637.0,602.0,623.0,12
2012-03-30,640.5,647.5,637.0,637.0,23
2012-04-02,595.0,612.5,595.0,612.5,3
2012-04-03,577.5,633.5,577.5,633.5,100
2012-04-04,630.0,651.0,577.5,616.0,41
2012-04-05,588.0,654.5,588.0,654.5,18
2012-04-09,542.5,588.0,542.5,588.0,11
2012-04-10,570.5,570.5,570.5,570.5,1
2012-04-11,570.5,570.5,542.5,546.0,21
2012-04-12,577.5,577.5,514.5,570.5,25
2012-04-13,560.0,574.0,525.0,525.0,22
2012-04-16,595.0,595.0,574.0,574.0,11
2012-04-17,577.5,595.0,542.5,577.5,55
2012-04-18,577.5,577.5,560.0,560.0,25
2012-04-19,591.5,595.0,574.0,577.5,55
2012-04-20,584.5,595.0,577.5,577.5,53
2012-04-23,577.5,595.0,577.5,595.0,51
2012-04-24,584.5,595.0,577.5,595.0,9
2012-04-25,595.0,595.0,577.5,577.5,15
2012-04-26,584.5,584.5,581.0,581.0,34
2012-04-27,581.0,581.0,581.0,581.0,14
2012-04-30,581.0,581.0,581.0,581.0,14
2012-05-01,577.5,584.5,577.5,584.5,23
2012-05-02,577.5,584.5,577.5,584.5,7
2012-05-03,577.5,577.5,560.0,577.5,11
2012-05-04,577.5,595.0,560.0,595.0,8
2012-05-07,577.5,577.5,577.5,577.5,0
2012-05-08,560.0,560.0,560.0,560.0,2
2012-05-09,556.5,556.5,357.0,525.0,35
2012-05-10,556.5,556.5,525.0,525.0,3
2012-05-11,556.5,556.5,507.5,507.5,8
2012-05-14,556.5,556.5,556.5,556.5,0
2012-05-15,560.0,560.0,560.0,560.0,1
2012-05-16,542.5,570.5,542.5,560.0,18
2012-05-17,595.0,595.0,528.5,542.5,29
2012-05-18,595.0,595.0,577.5,595.0,34
2012-05-21,567.0,595.0,507.5,595.0,53
2012-05-22,560.0,560.0,560.0,560.0,1
2012-05-23,542.5,542.5,542.5,542.5,3
2012-05-24,539.0,539.0,507.5,507.5,7
2012-05-25,542.5,542.5,542.5,542.5,1
2012-05-29,542.5,542.5,542.5,542.5,1
2012-05-30,542.5,542.5,542.5,542.5,0
2012-05-31,486.5,507.5,472.5,507.5,5
2012-06-01,539.0,539.0,490.0,490.0,1
2012-06-04,539.0,539.0,539.0,539.0,0
2012-06-05,539.0,539.0,539.0,539.0,0
2012-06-06,539.0,539.0,539.0,539.0,0
2012-06-07,507.5,507.5,500.5,500.5,5
2012-06-08,507.5,507.5,504.0,507.5,9
2012-06-11,539.0,539.0,511.0,511.0,58
2012-06-12,542.5,542.5,539.0,539.0,27
2012-06-13,560.0,560.0,542.5,542.5,44
2012-06-14,570.5,570.5,532.0,560.0,19
2012-06-15,570.5,577.5,553.0,570.5,21
2012-06-18,567.0,577.5,542.5,577.5,27
2012-06-19,577.5,577.5,525.0,577.5,4
2012-06-20,563.5,563.5,525.0,525.0,15
2012-06-21,560.0,560.0,542.5,560.0,18
2012-06-22,560.0,560.0,525.0,525.0,10
2012-06-25,525.0,560.0,525.0,560.0,6
2012-06-26,560.0,560.0,560.0,560.0,6
2012-06-27,542.5,577.5,542.5,542.5,20
2012-06-28,542.5,542.5,542.5,542.5,2
2012-06-29,567.0,577.5,542.5,577.5,14
2012-07-02,525.0,525.0,525.0,525.0,1
2012-07-03,525.0,525.0,525.0,525.0,2
2012-07-05,567.0,577.5,567.0,577.5,5
2012-07-06,560.0,560.0,560.0,560.0,3
2012-07-09,567.0,577.5,560.0,560.0,19
2012-07-10,560.0,560.0,560.0,560.0,4
2012-07-11,560.0,584.5,560.0,560.0,9
2012-07-12,518.0,577.5,507.5,577.5,32
2012-07-13,518.0,518.0,518.0,518.0,0
2012-07-16,525.0,525.0,525.0,525.0,3
2012-07-17,525.0,525.0,525.0,525.0,0
2012-07-18,591.5,591.5,560.0,560.0,6
2012-07-19,560.0,560.0,560.0,560.0,1
2012-07-20,560.0,560.0,560.0,560.0,0
2012-07-23,542.5,542.5,507.5,525.0,5
2012-07-24,525.0,525.0,525.0,525.0,0
2012-07-25,490.0,507.5,490.0,507.5,3
2012-07-26,542.5,560.0,525.0,525.0,11
2012-07-27,591.5,595.0,560.0,560.0,12
2012-07-30,581.0,588.0,581.0,588.0,5
2012-07-31,609.0,609.0,588.0,588.0,7
2012-08-01,595.0,612.5,595.0,605.5,5
2012-08-02,602.0,602.0,602.0,602.0,1
2012-08-03,612.5,612.5,612.5,612.5,3
2012-08-06,612.5,612.5,598.5,612.5,6
2012-08-07,619.5,619.5,619.5,619.5,2
2012-08-08,612.5,612.5,612.5,612.5,1
2012-08-09,626.5,630.0,612.5,612.5,17
2012-08-10,595.0,616.0,595.0,616.0,3
2012-08-13,616.0,616.0,581.0,581.0,25
2012-08-14,605.5,623.0,581.0,581.0,17
2012-08-15,577.5,637.0,525.0,619.5,163
2012-08-16,560.0,595.0,542.5,595.0,91
2012-08-17,591.5,591.5,560.0,560.0,41
2012-08-20,556.5,556.5,444.5,455.0,34
2012-08-21,591.5,591.5,525.0,525.0,1
2012-08-22,560.0,577.5,507.5,577.5,2
2012-08-23,525.0,525.0,490.0,525.0,6
2012-08-24,525.0,525.0,525.0,525.0,1
2012-08-27,525.0,525.0,437.5,437.5,4
2012-08-28,469.0,469.0,420.0,420.0,4
2012-08-29,332.5,420.0,332.5,420.0,24
2012-08-30,332.5,332.5,213.5,332.5,108
2012-08-31,353.5,353.5,280.0,332.5,19
2012-09-04,280.0,353.5,280.0,353.5,17
2012-09-05,353.5,353.5,280.0,283.5,8
2012-09-06,280.0,353.5,280.0,353.5,9
2012-09-07,315.0,315.0,262.5,280.0,26
2012-09-10,245.0,315.0,227.5,227.5,57
2012-09-11,280.0,280.0,227.5,245.0,30
2012-09-12,213.5,213.5,213.5,213.5,19
2012-09-13,210.0,213.5,210.0,213.5,9
2012-09-14,245.0,245.0,210.0,210.0,10
2012-09-17,210.0,241.5,210.0,241.5,18
2012-09-18,210.0,210.0,210.0,210.0,4
2012-09-19,227.5,245.0,224.0,224.0,88
2012-09-20,234.5,241.5,224.0,241.5,21
2012-09-21,234.5,234.5,217.0,217.0,21
2012-09-24,245.0,245.0,245.0,245.0,1
