Date,close,high,low,open,volume
2023-10-09,4000.0,4000.0,4000.0,4000.0,0
2023-10-10,2800.0,4424.0,2512.0,4200.0,1113
2023-10-11,2704.0,3200.0,2400.0,3000.0,202
2023-10-12,2400.0,2759.199951171875,2400.0,2528.0,54
2023-10-13,2240.0,2528.0,2000.0,2528.0,24
2023-10-16,2416.0,2800.0,2368.0,2632.0,75
2023-10-17,1880.0,2400.0,1786.4000244140625,2384.0,29
2023-10-18,2024.0,2112.0,1792.0,1792.0,28
2023-10-19,1976.0,2120.0,1904.0,2120.0,25
2023-10-20,1872.0,1904.0,1720.0,1720.0,20
2023-10-23,1776.0,1920.0,1600.0,1784.0,81
2023-10-24,1384.0,1816.0,1352.0,1808.0,231
2023-10-25,1256.0,1432.0,1240.0,1392.0,133
2023-10-26,1352.0,1680.0,1224.0,1368.0,624
2023-10-27,968.0,1312.0,856.0,1312.0,149
2023-10-30,960.0,1024.0,896.0,992.0,491
2023-10-31,1024.0,1144.0,920.0,976.0,376
2023-11-01,776.0,1031.199951171875,720.0,1024.0,378
2023-11-02,832.0,832.0,755.2000122070312,800.0,90
2023-11-03,824.0,863.2000122070312,784.0,808.0,25
2023-11-06,800.0,880.0,784.0,848.0,48
2023-11-07,840.0,840.0,752.7999877929688,824.0,12
2023-11-08,800.0,872.0,792.0,872.0,32
2023-11-09,808.0,854.4000244140625,800.0,848.0,11
2023-11-10,760.0,816.0,736.7999877929688,800.0,51
2023-11-13,808.0,840.0,726.4000244140625,824.0,88
2023-11-14,800.0,920.0,744.0,920.0,57
2023-11-15,760.0,808.0,720.0,808.0,48
2023-11-16,864.0,872.0,720.0,752.0,61
2023-11-17,1304.0,1624.0,864.0,920.0,3100
2023-11-20,1560.0,1640.0,1048.0,1128.0,967
2023-11-21,1504.0,1573.5999755859375,1216.0,1560.0,247
2023-11-22,1464.0,1584.0,1408.0,1576.0,78
2023-11-24,1576.0,1576.0,1424.0,1424.0,32
2023-11-27,1992.0,2251.199951171875,1552.0,1584.0,645
2023-11-28,1880.0,2224.0,1764.0,2112.0,175
2023-11-29,1568.0,1848.0,1416.0,1632.0,301
2023-11-30,1592.0,1808.0,1496.0,1497.5999755859375,73
2023-12-01,1640.0,1832.0,1500.800048828125,1580.800048828125,18
2023-12-04,1660.0,1808.0,1592.0,1808.0,14
2023-12-05,1604.0,1632.0,1600.800048828125,1608.0,11
2023-12-06,1672.0,1672.0,1583.199951171875,1632.0,3
2023-12-07,1312.0,1686.4000244140625,1088.0,1520.0,119
2023-12-08,1264.0,1352.0,1264.0,1304.0,13
2023-12-11,1344.0,1368.0,1200.0,1280.0,27
2023-12-12,1216.0,1280.0,1208.0,1208.0,6
2023-12-13,1312.0,1384.0,1208.0,1257.5999755859375,11
2023-12-14,1200.0,1384.0,1200.0,1336.0,11
2023-12-15,1584.0,1920.0,1248.0,1376.0,1375
2023-12-18,1368.0,1664.0,1360.0,1664.0,95
2023-12-19,1248.0,1504.0,1240.0,1376.0,42
2023-12-20,1272.0,1412.800048828125,1240.0,1376.0,39
2023-12-21,1272.0,1338.4000244140625,1240.0,1256.0,16
2023-12-22,1208.0,1360.0,1208.0,1305.5999755859375,66
2023-12-26,1224.0,1368.0,1208.0,1208.0,34
2023-12-27,1272.0,1384.0,1240.0,1280.0,63
2023-12-28,1216.0,1287.199951171875,1216.0,1240.0,20
2023-12-29,1200.0,1248.0,1200.0,1200.0,18
2024-01-02,1276.0,1298.4000244140625,1200.0,1252.0,11
2024-01-03,1216.0,1296.0,1200.0,1296.0,12
2024-01-04,1192.0,1272.0,1152.0,1272.0,21
2024-01-05,1201.5999755859375,1280.0,1160.0,1192.0,15
2024-01-08,1280.0,1360.0,1128.0,1264.0,11
2024-01-09,1168.0,1225.5999755859375,1128.0,1225.5999755859375,3
2024-01-10,1192.0,1216.0,1136.0,1160.0,6
2024-01-11,1200.0,1208.0,1104.0,1104.0,3
2024-01-12,1184.0,1184.0,1184.0,1184.0,1
2024-01-16,1128.0,1160.0,1120.0,1160.0,6
2024-01-17,1464.0,1496.0,1196.0,1196.0,106
2024-01-18,1464.0,1560.0,1262.4000244140625,1464.0,24
2024-01-19,1384.0,1544.0,1224.0,1504.0,9
2024-01-22,1364.0,1556.0,1352.0,1448.0,8
2024-01-23,1420.0,1576.0,1280.0,1424.0,10
2024-01-24,1256.0,1480.0,1256.0,1258.4000244140625,3
2024-01-25,1352.0,1356.0,1238.4000244140625,1264.0,4
2024-01-26,1224.0,1304.800048828125,1224.0,1248.0,2
2024-01-29,1280.0,1495.199951171875,1240.0,1240.0,3
2024-01-30,1280.0,1280.0,1280.0,1280.0,0
2024-01-31,1386.4000244140625,1386.4000244140625,1200.0,1320.0,12
2024-02-01,1365.5999755859375,1400.0,1216.0,1224.0,10
2024-02-02,1256.0,1312.0,1224.0,1312.0,2
2024-02-05,1336.0,1336.0,1336.0,1336.0,1
2024-02-06,1408.0,1408.0,1208.0,1208.0,3
2024-02-07,1324.800048828125,1324.800048828125,1228.0,1228.0,2
2024-02-08,1304.0,1304.0,1304.0,1304.0,1
2024-02-09,1350.4000244140625,1350.4000244140625,1304.0,1320.0,3
2024-02-12,1304.0,1360.0,1304.0,1352.0,3
2024-02-13,1304.0,1304.0,1304.0,1304.0,1
2024-02-14,1352.0,1360.0,1312.0,1352.0,3
2024-02-15,1284.0,1328.0,1208.0,1328.0,10
2024-02-16,1200.0,1360.0,1200.0,1324.0,5
2024-02-20,1048.0,1256.0,1048.0,1200.0,11
2024-02-21,1054.4000244140625,1323.199951171875,1054.4000244140625,1323.199951171875,2
2024-02-22,2192.0,4400.0,2000.0,3864.0,38823
2024-02-23,2040.0,2112.0,1680.0,1952.0,847
2024-02-26,1872.0,2136.0,1792.0,2136.0,158
2024-02-27,1568.0,1720.0,1472.0,1632.0,133
2024-02-28,1360.0,1520.0,1280.0,1520.0,194
2024-02-29,1397.5999755859375,1496.0,1264.0,1344.0,114
2024-03-01,1464.0,1480.0,1296.0,1296.0,96
2024-03-04,1496.0,1576.0,1328.0,1360.0,131
2024-03-05,1680.0,1853.5999755859375,1480.0,1662.4000244140625,181
2024-03-06,1496.0,1704.0,1440.0,1696.0,49
2024-03-07,1688.0,1848.0,1464.0,1600.0,232
2024-03-08,1416.0,1720.0,1408.800048828125,1720.0,320
2024-03-11,1400.0,1520.0,1400.0,1448.0,57
2024-03-12,1408.0,1488.800048828125,1376.0,1376.0,47
2024-03-13,1440.800048828125,1624.0,1416.0,1440.0,178
2024-03-14,1392.0,1544.800048828125,1392.0,1440.800048828125,45
2024-03-15,1488.0,1568.0,1368.0,1424.0,36
2024-03-18,1400.0,1520.0,1352.0,1456.0,35
2024-03-19,1360.0,1460.0,1328.0,1392.0,77
2024-03-20,1376.0,1440.0,1320.0,1320.0,47
2024-03-21,1424.0,1480.0,1368.0,1440.0,36
2024-03-22,1400.0,1440.0,1328.0,1328.0,21
2024-03-25,1352.0,1560.0,1320.0,1560.0,57
2024-03-26,1328.0,1471.199951171875,1320.0,1392.0,17
2024-03-27,1392.0,1480.0,1280.0,1384.0,19
2024-03-28,1328.0,1400.0,1320.0,1320.0,18
2024-04-01,1376.0,1480.0,1288.0,1400.0,12
2024-04-02,1304.0,1375.199951171875,1304.0,1309.5999755859375,5
2024-04-03,1288.0,1359.199951171875,1280.800048828125,1304.0,11
2024-04-04,1240.0,1312.0,1240.0,1288.0,28
2024-04-05,1240.0,1344.0,1200.0,1296.0,47
2024-04-08,1200.0,1280.0,1136.0,1184.0,34
2024-04-09,1280.0,1280.800048828125,1224.0,1280.0,9
2024-04-10,1280.0,1280.0,1224.0,1232.0,4
2024-04-11,1224.0,1304.0,1160.0,1280.0,18
2024-04-12,1184.0,1280.0,1104.0,1280.0,13
2024-04-15,1176.0,1280.0,1168.0,1264.0,6
2024-04-16,1180.0,1240.0,1128.800048828125,1208.0,9
2024-04-17,1280.0,1400.0,1192.0,1192.0,174
2024-04-18,1400.0,1744.0,1392.0,1456.0,594
2024-04-19,1376.0,1512.0,1376.0,1440.0,59
2024-04-22,1278.4000244140625,1440.0,1272.800048828125,1376.0,57
2024-04-23,1288.0,1288.0,1200.0,1240.0,20
2024-04-24,1280.0,1416.800048828125,1201.5999755859375,1232.0,17
2024-04-25,1368.0,1440.0,1264.0,1312.0,40
2024-04-26,1360.0,1392.0,1308.800048828125,1390.4000244140625,12
2024-04-29,1392.0,1400.0,1320.0,1400.0,16
2024-04-30,1320.0,1402.4000244140625,1320.0,1376.0,16
2024-05-01,1264.0,1360.0,1208.0,1296.0,36
2024-05-02,1344.0,1355.199951171875,1280.0,1320.0,15
2024-05-03,1280.0,1370.4000244140625,1204.0,1336.0,54
2024-05-06,1328.0,1336.0,1216.0,1280.0,11
2024-05-07,1192.0,1296.0,1192.0,1272.0,50
2024-05-08,1248.0,1272.0,1192.0,1192.0,6
2024-05-09,1184.0,1272.0,1144.0,1272.0,43
2024-05-10,1064.0,1192.0,1056.0,1160.0,62
2024-05-13,1072.0,1200.0,1048.0,1072.0,44
2024-05-14,1096.0,1168.0,1029.5999755859375,1168.0,43
2024-05-15,1040.0,1120.0,1008.0,1120.0,44
2024-05-16,960.0,1128.0,952.0,1040.0,215
2024-05-17,1024.0,1120.0,912.0,992.0,95
2024-05-20,1000.0,1024.0,944.0,992.0,29
2024-05-21,1072.0,1120.0,992.0,1000.0,79
2024-05-22,1032.0,1088.0,967.2000122070312,1088.0,23
2024-05-23,976.0,1005.5999755859375,968.7999877929688,984.0,6
2024-05-24,968.0,1040.0,968.0,976.0,19
2024-05-28,848.0,992.0,848.0,944.0,35
2024-05-29,880.0,904.0,808.0,848.0,61
2024-05-30,824.0,896.0,808.0,896.0,44
2024-05-31,848.0,856.0,816.0,816.0,16
2024-06-03,992.0,1136.0,832.0,832.0,249
2024-06-04,1000.0,1120.0,944.0,1080.0,111
2024-06-05,952.0,1000.0,904.0,992.0,59
2024-06-06,896.0,936.0,856.0,888.0,43
2024-06-07,904.0,912.0,798.4000244140625,880.0,58
2024-06-10,896.0,904.0,880.0,880.0,14
2024-06-11,904.7999877929688,920.0,855.2000122070312,880.0,38
2024-06-12,648.0,792.0,640.7999877929688,720.0,188
2024-06-13,488.79998779296875,648.0,488.79998779296875,628.7999877929688,171
2024-06-14,936.0,1448.0,418.3999938964844,474.3999938964844,50753
2024-06-17,832.0,880.0,728.0,769.5999755859375,2105
2024-06-18,1432.0,2336.0,808.0,832.0,66123
2024-06-20,1264.0,1440.0,1024.0,1152.0,2384
2024-06-21,1128.0,1351.199951171875,1120.0,1264.0,2432
2024-06-24,1200.0,1416.0,1120.0,1152.0,941
2024-06-25,1408.0,2688.0,1336.0,1992.0,86037
2024-06-26,1720.0,1720.0,1352.0,1360.0,3941
2024-06-27,1760.0,1880.0,1664.0,1720.0,1441
2024-06-28,1688.0,1920.0,1680.0,1792.0,583
2024-07-01,1472.0,1639.199951171875,1440.0,1600.0,423
2024-07-02,1544.0,1680.0,1488.0,1560.0,566
2024-07-03,1488.0,1556.0,1440.0,1552.0,209
2024-07-05,1376.0,1536.0,1376.0,1464.0,209
2024-07-08,1272.0,1408.0,1232.0,1376.0,500
2024-07-09,1256.0,1328.0,1240.0,1280.0,157
2024-07-10,1312.0,1380.0,1248.0,1248.0,249
2024-07-11,1264.0,1376.0,1256.0,1312.0,160
2024-07-12,1336.0,1344.0,1264.0,1272.0,120
2024-07-15,1232.0,1304.0,1200.0,1296.0,221
2024-07-16,1256.0,1264.0,1200.0,1256.0,120
2024-07-17,1296.0,1416.0,1224.0,1224.0,982
2024-07-18,1272.0,1312.0,1224.0,1272.0,111
2024-07-19,1232.0,1268.800048828125,1208.0,1264.0,104
2024-07-22,1176.0,1232.0,1162.4000244140625,1224.0,133
2024-07-23,1144.0,1203.199951171875,1120.0,1160.0,109
2024-07-24,1128.0,1200.0,1088.0,1192.0,196
2024-07-25,1064.0,1135.199951171875,1048.0,1096.0,138
2024-07-26,1080.0,1112.0,1048.0,1072.0,65
2024-07-29,952.0,1096.0,928.0,1096.0,186
2024-07-30,904.0,992.0,880.0,944.0,82
2024-07-31,984.0,1020.0,840.0,944.0,168
2024-08-01,936.0,1024.0,904.0,1024.0,101
2024-08-02,952.0,1000.0,888.0,904.0,62
2024-08-05,888.0,912.0,840.0,848.0,92
2024-08-06,936.0,968.0,848.0,848.0,58
2024-08-07,944.0,960.0,928.0,935.2000122070312,4
2024-08-08,928.0,992.0,904.0,976.7999877929688,29
2024-08-09,928.0,928.0,904.0,928.0,55
2024-08-12,896.0,934.4000244140625,880.0,928.0,55
2024-08-13,904.0,920.0,872.0,880.0,25
2024-08-14,992.0,992.0,888.0,888.0,41
2024-08-15,1104.0,1104.0,992.0,992.0,68
2024-08-16,888.0,1120.0,744.7999877929688,1111.199951171875,12428
2024-08-19,888.0,928.0,832.0,832.0,1197
2024-08-20,840.0,904.0,800.0,904.0,432
2024-08-21,828.0,856.0,800.0,824.0,769
2024-08-22,808.0,832.0,796.0,816.0,167
2024-08-23,800.0,824.0,793.5999755859375,824.0,223
2024-08-26,800.0,816.0,792.0,816.0,104
2024-08-27,847.2000122070312,856.0,800.0,808.0,233
2024-08-28,784.0,840.0,760.0,832.0,141
2024-08-29,780.7999877929688,800.0,760.0,800.0,41
2024-08-30,784.0,798.4000244140625,760.0,782.4000244140625,60
2024-09-03,788.7999877929688,808.0,776.0,800.0,99
2024-09-04,792.0,792.0,720.0,776.0,72
2024-09-05,792.0,808.0,753.5999755859375,784.0,54
2024-09-06,729.5999755859375,792.0,705.5999755859375,792.0,104
2024-09-09,736.0,736.0,698.4000244140625,720.0,49
2024-09-10,720.0,720.0,680.0,698.4000244140625,124
2024-09-11,700.0,716.0,672.0,704.0,84
2024-09-12,661.5999755859375,720.0,656.0,704.0,71
2024-09-13,714.4000244140625,714.4000244140625,666.4000244140625,666.4000244140625,36
2024-09-16,680.0,748.0,656.0,714.4000244140625,212
2024-09-17,592.0,720.0,568.0,720.0,614
2024-09-18,521.5999755859375,597.5999755859375,505.6000061035156,592.0,293
2024-09-19,527.2000122070312,576.0,520.0,555.2000122070312,130
2024-09-20,520.0,543.2000122070312,512.7999877929688,534.4000244140625,226
2024-09-23,536.0,555.2000122070312,524.0,543.2000122070312,52
2024-09-24,520.0,544.0,520.0,528.0,42
2024-09-25,536.7999877929688,552.0,520.0,528.0,138
2024-09-26,542.4000244140625,544.0,512.0,520.7999877929688,235
2024-09-27,520.0,576.0,512.0,576.0,611
2024-09-30,518.4000244140625,544.0,504.0,528.0,221
2024-10-01,504.0,548.7999877929688,504.0,508.0,100
2024-10-02,504.0,519.2000122070312,496.0,519.2000122070312,43
2024-10-03,496.0,520.0,488.0,496.0,56
2024-10-04,484.79998779296875,512.0,484.79998779296875,489.6000061035156,42
2024-10-07,468.0,504.0,464.0,488.0,126
2024-10-08,472.79998779296875,488.0,464.0,465.6000061035156,81
2024-10-09,456.0,480.0,448.79998779296875,480.0,155
2024-10-10,456.0,472.0,456.0,472.0,22
2024-10-11,436.0,467.20001220703125,423.20001220703125,456.0,180
2024-10-14,404.79998779296875,480.0,400.0,479.20001220703125,442
2024-10-15,420.79998779296875,432.0,400.0,400.0,315
2024-10-16,408.0,424.0,396.0,412.0,139
2024-10-17,407.20001220703125,408.0,396.0,408.0,33
2024-10-18,400.0,408.0,392.0,396.0,55
2024-10-21,388.0,420.0,376.0,400.79998779296875,120
2024-10-22,392.0,400.0,384.0,388.0,57
2024-10-23,904.0,1424.0,604.7999877929688,656.0,228136
2024-10-24,832.0,864.0,688.0,832.0,7634
2024-10-25,680.0,840.0,680.0,840.0,1985
2024-10-28,684.7999877929688,720.0,536.0,664.7999877929688,1479
2024-10-29,624.0,708.0,609.5999755859375,703.2000122070312,528
2024-10-30,612.0,628.7999877929688,600.0,608.0,462
2024-10-31,598.4000244140625,636.0,576.0,636.0,348
2024-11-01,605.5999755859375,640.0,580.0,580.0,237
2024-11-04,624.0,639.2000122070312,580.0,592.0,243
2024-11-05,680.0,704.0,616.0,632.0,351
2024-11-06,680.0,698.4000244140625,656.0,690.4000244140625,246
2024-11-07,656.0,696.0,644.0,672.7999877929688,187
