Date,close,high,low,open,volume
1999-03-01,173437.5,196875.0,173437.5,192187.5,0
1999-03-02,192187.5,196875.0,182812.5,182812.5,0
1999-03-03,173437.5,192187.5,173437.5,192187.5,0
1999-03-04,196875.0,196875.0,178125.0,196875.0,0
1999-03-05,206250.0,206250.0,206250.0,206250.0,0
1999-03-08,178125.0,178125.0,178125.0,178125.0,0
1999-03-09,173437.5,206250.0,173437.5,187500.0,0
1999-03-10,173437.5,173437.5,173437.5,173437.5,0
1999-03-11,206250.0,206250.0,168750.0,206250.0,0
1999-03-12,178125.0,178125.0,168750.0,168750.0,0
1999-03-15,168750.0,168750.0,168750.0,168750.0,0
1999-03-16,201562.5,201562.5,201562.5,201562.5,0
1999-03-17,201562.5,201562.5,201562.5,201562.5,0
1999-03-18,201562.5,201562.5,196875.0,201562.5,0
1999-03-19,182812.5,187500.0,178125.0,187500.0,0
1999-03-22,187500.0,196875.0,187500.0,196875.0,0
1999-03-23,201562.5,225000.0,196875.0,196875.0,0
1999-03-24,206250.0,206250.0,201562.5,201562.5,0
1999-03-25,192187.5,196875.0,178125.0,196875.0,0
1999-03-26,182812.5,196875.0,182812.5,196875.0,0
1999-03-29,182812.5,182812.5,182812.5,182812.5,0
1999-03-30,201562.5,201562.5,201562.5,201562.5,0
1999-03-31,182812.5,182812.5,182812.5,182812.5,0
1999-04-01,192187.5,196875.0,182812.5,182812.5,0
1999-04-05,182812.5,192187.5,182812.5,182812.5,0
1999-04-06,187500.0,192187.5,168750.0,182812.5,0
1999-04-07,168750.0,168750.0,168750.0,168750.0,0
1999-04-08,187500.0,192187.5,168750.0,168750.0,0
1999-04-09,225000.0,225000.0,201562.5,210937.5,0
1999-04-12,215625.0,225000.0,215625.0,225000.0,0
1999-04-13,178125.0,220312.5,168750.0,220312.5,0
1999-04-14,173437.5,187500.0,173437.5,187500.0,0
1999-04-15,173437.5,196875.0,168750.0,173437.5,0
1999-04-16,187500.0,210937.5,187500.0,196875.0,0
1999-04-19,168750.0,187500.0,168750.0,187500.0,0
1999-04-20,168750.0,168750.0,168750.0,168750.0,0
1999-04-21,192187.5,192187.5,192187.5,192187.5,0
1999-04-22,187500.0,225000.0,187500.0,192187.5,0
1999-04-23,187500.0,187500.0,187500.0,187500.0,0
1999-04-26,201562.5,206250.0,187500.0,187500.0,0
1999-04-27,192187.5,206250.0,178125.0,178125.0,0
1999-04-28,206250.0,206250.0,206250.0,206250.0,0
1999-04-29,225000.0,234375.0,178125.0,178125.0,0
1999-04-30,206250.0,234375.0,206250.0,225000.0,0
1999-05-03,225000.0,229687.5,215625.0,225000.0,0
