Date,close,high,low,open,volume
2017-11-29,52850.0,62400.0,41500.0,41500.0,60
2017-11-30,50500.0,59250.0,45550.0,52900.0,54
2017-12-01,42800.0,53225.0,42100.0,50300.0,45
2017-12-04,56200.0,58500.0,37750.0,42600.0,98
2017-12-05,50000.0,63750.0,48850.0,53700.0,106
2017-12-06,41650.0,54550.0,41500.0,50050.0,53
2017-12-07,37275.0,43500.0,33000.0,41500.0,110
2017-12-08,38700.0,40900.0,36250.0,37500.0,43
2017-12-11,36300.0,39945.0,34450.0,39945.0,36
2017-12-12,40000.0,41000.0,36900.0,36950.0,43
2017-12-13,42250.0,44000.0,39500.0,39500.0,42
2017-12-14,43000.0,45000.0,39800.0,42950.0,51
2017-12-15,46500.0,47950.0,41550.0,44000.0,89
2017-12-18,49500.0,51400.0,46600.0,47250.0,52
2017-12-19,49300.0,51600.0,45105.0,49500.0,37
2017-12-20,48650.0,50750.0,48000.0,49800.0,23
2017-12-21,42800.0,49750.0,42000.0,48800.0,45
2017-12-22,41700.0,43850.0,38075.0,42150.0,32
2017-12-26,42700.0,46400.0,41850.0,42750.0,74
2017-12-27,35050.0,45000.0,34295.0,43300.0,113
2017-12-28,30300.0,37300.0,29700.0,35750.0,90
2017-12-29,35250.0,36750.0,30300.0,30500.0,49
2018-01-02,35550.0,36700.0,31450.0,36700.0,13
2018-01-03,37900.0,38400.0,33000.0,35150.0,61
2018-01-04,41650.0,41915.0,35305.0,38350.0,66
2018-01-05,42900.0,47400.0,39800.0,41750.0,96
2018-01-08,43700.0,48000.0,39400.0,42000.0,181
2018-01-09,43650.0,44600.0,40700.0,41600.0,98
2018-01-10,42150.0,44400.0,39000.0,44400.0,77
2018-01-11,45250.0,49700.0,41250.0,42100.0,127
2018-01-12,40000.0,47800.0,38000.0,45300.0,93
2018-01-16,40300.0,41895.0,39900.0,39950.0,11
2018-01-17,45200.0,47750.0,39350.0,40200.0,84
2018-01-18,50350.0,50500.0,40650.0,44450.0,58
2018-01-19,55650.0,56600.0,48350.0,49350.0,63
2018-01-22,53850.0,55950.0,50050.0,55750.0,42
2018-01-23,52700.0,55500.0,51130.0,53900.0,62
2018-01-24,48500.0,53350.0,48000.0,53350.0,42
