Date,close,high,low,open,volume
2013-05-22,0.25,0.25,0.25,0.25,3500
2013-05-23,0.25,0.25,0.25,0.25,0
2013-05-24,0.25,0.25,0.25,0.25,0
2013-05-28,0.25,0.25,0.25,0.25,0
2013-05-29,0.25,0.25,0.25,0.25,0
2013-05-30,0.25,0.25,0.25,0.25,0
2013-05-31,0.25,0.25,0.25,0.25,0
2013-06-03,0.25,0.25,0.25,0.25,0
2013-06-04,0.25,0.25,0.25,0.25,0
2013-06-05,0.25,0.25,0.25,0.25,0
2013-06-06,0.25,0.25,0.25,0.25,0
2013-06-07,0.25,0.25,0.25,0.25,0
2013-06-10,0.25,0.25,0.25,0.25,200
2013-06-11,0.25,0.25,0.25,0.25,0
2013-06-12,0.25,0.25,0.25,0.25,0
2013-06-13,0.25,0.25,0.25,0.25,0
2013-06-14,0.25,0.25,0.25,0.25,0
2013-06-17,0.25,0.25,0.25,0.25,0
2013-06-18,0.25,0.25,0.25,0.25,0
2013-06-19,0.25,0.25,0.25,0.25,0
2013-06-20,0.25,0.25,0.25,0.25,0
2013-06-21,0.25,0.25,0.25,0.25,0
2013-06-24,0.25,0.25,0.25,0.25,0
2013-06-25,0.25,0.25,0.25,0.25,0
2013-06-26,0.25,0.25,0.25,0.25,0
2013-06-27,0.25,0.25,0.25,0.25,0
2013-06-28,0.25,0.25,0.25,0.25,0
2013-07-01,0.25,0.25,0.25,0.25,0
2013-07-02,0.25,0.25,0.25,0.25,0
2013-07-03,0.25,0.25,0.25,0.25,0
2013-07-05,0.25,0.25,0.25,0.25,0
2013-07-08,0.25,0.25,0.25,0.25,0
2013-07-09,0.25,0.25,0.25,0.25,200
2013-07-10,0.25,0.25,0.25,0.25,0
2013-07-11,0.25,0.25,0.25,0.25,0
2013-07-12,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,500
2013-07-15,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-16,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-17,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-18,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-19,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-22,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-23,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-24,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-25,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-26,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-29,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0
2013-07-30,0.25,0.25,0.25,0.25,200
2013-07-31,0.25,0.25,0.25,0.25,0
2013-08-01,0.25,0.25,0.25,0.25,0
2013-08-02,0.25,0.25,0.25,0.25,0
2013-08-05,0.25,0.25,0.25,0.25,0
2013-08-06,0.25,0.25,0.25,0.25,0
2013-08-07,0.25,0.25,0.25,0.25,0
2013-08-08,0.25,0.25,0.25,0.25,0
2013-08-09,0.25,0.25,0.25,0.25,0
2013-08-12,0.25,0.25,0.25,0.25,0
2013-08-13,0.25,0.25,0.25,0.25,0
2013-08-14,0.25,0.25,0.25,0.25,0
2013-08-15,0.25,0.25,0.25,0.25,0
2013-08-16,0.25,0.25,0.25,0.25,0
2013-08-19,0.25,0.25,0.25,0.25,0
2013-08-20,0.25,0.25,0.25,0.25,0
2013-08-21,0.25,0.25,0.25,0.25,0
2013-08-22,0.25,0.25,0.25,0.25,0
2013-08-23,0.25,0.25,0.25,0.25,200
2013-08-26,0.25,0.25,0.25,0.25,0
2013-08-27,0.25,0.25,0.25,0.25,0
2013-08-28,0.25,0.25,0.25,0.25,0
2013-08-29,0.25,0.25,0.25,0.25,0
2013-08-30,0.25,0.25,0.25,0.25,0
2013-09-03,0.25,0.25,0.25,0.25,0
2013-09-04,0.25,0.25,0.25,0.25,0
2013-09-05,0.25,0.25,0.25,0.25,0
2013-09-06,0.25,0.25,0.25,0.25,0
2013-09-09,0.25,0.25,0.25,0.25,0
2013-09-10,0.25,0.25,0.25,0.25,0
2013-09-11,0.25,0.25,0.25,0.25,0
2013-09-12,0.25,0.25,0.25,0.25,0
2013-09-13,0.25,0.25,0.25,0.25,0
2013-09-16,0.25,0.25,0.25,0.25,0
2013-09-17,0.25,0.25,0.25,0.25,0
2013-09-18,0.25,0.25,0.25,0.25,0
2013-09-19,0.25,0.25,0.25,0.25,0
2013-09-20,0.25,0.25,0.25,0.25,0
2013-09-23,0.25,0.25,0.25,0.25,0
2013-09-24,0.25,0.25,0.25,0.25,100
2013-09-25,0.25,0.25,0.25,0.25,0
2013-09-26,0.25,0.25,0.25,0.25,0
2013-09-27,0.25,0.25,0.25,0.25,0
2013-09-30,0.25,0.25,0.25,0.25,0
2013-10-01,0.25,0.25,0.25,0.25,0
2013-10-02,0.25,0.25,0.25,0.25,0
2013-10-03,0.25,0.25,0.25,0.25,0
2013-10-04,0.25,0.25,0.25,0.25,0
2013-10-07,0.25,0.25,0.25,0.25,0
2013-10-08,0.25,0.25,0.25,0.25,600
2013-10-09,0.25,0.25,0.25,0.25,0
2013-10-10,0.25,0.25,0.25,0.25,0
2013-10-11,0.25,0.25,0.25,0.25,0
2013-10-14,0.25,0.25,0.25,0.25,0
2013-10-15,0.25,0.25,0.25,0.25,0
2013-10-16,0.25,0.25,0.25,0.25,0
2013-10-17,0.25,0.25,0.25,0.25,0
2013-10-18,0.25,0.25,0.25,0.25,0
2013-10-21,0.25,0.25,0.25,0.25,0
2013-10-22,0.25,0.25,0.25,0.25,0
2013-10-23,0.25,0.25,0.25,0.25,0
2013-10-24,0.25,0.25,0.25,0.25,0
2013-10-25,0.25,0.25,0.25,0.25,0
2013-10-28,0.25,0.25,0.25,0.25,0
2013-10-29,0.25,0.25,0.25,0.25,0
2013-10-30,0.25,0.25,0.25,0.25,0
2013-10-31,0.25,0.25,0.25,0.25,0
2013-11-01,0.25,0.25,0.25,0.25,0
2013-11-04,0.25,0.25,0.25,0.25,0
2013-11-05,0.25,0.25,0.25,0.25,0
2013-11-06,0.25,0.25,0.25,0.25,0
2013-11-07,0.25,0.25,0.25,0.25,0
2013-11-08,0.25,0.25,0.25,0.25,0
2013-11-11,0.25,0.25,0.25,0.25,0
2013-11-12,0.25,0.25,0.25,0.25,0
2013-11-13,0.25,0.25,0.25,0.25,0
2013-11-14,0.25,0.25,0.25,0.25,0
2013-11-15,0.25,0.25,0.25,0.25,0
2013-11-18,0.25,0.25,0.25,0.25,200
2013-11-19,0.25,0.25,0.25,0.25,0
2013-11-20,0.25,0.25,0.25,0.25,0
2013-11-21,0.25,0.25,0.25,0.25,0
2013-11-22,0.25,0.25,0.25,0.25,0
2013-11-25,0.25,0.25,0.25,0.25,0
2013-11-26,0.25,0.25,0.25,0.25,0
2013-11-27,0.25,0.25,0.25,0.25,0
2013-11-29,0.25,0.25,0.25,0.25,0
2013-12-02,0.25,0.25,0.25,0.25,0
2013-12-03,0.25,0.25,0.25,0.25,0
