Date,close,high,low,open,volume
2000-03-03,817.5,876.0,492.0,492.0,1071533
2000-03-06,811.5,876.0,730.3125,744.0,173592
2000-03-07,768.0,807.0,750.0,798.0,95700
2000-03-08,723.0,763.5,684.0,756.0,158142
2000-03-09,733.5,733.5,675.0,706.5,82425
2000-03-10,729.0,751.5,702.75,712.5,84800
2000-03-13,651.0,685.5,630.0,631.5,105642
2000-03-14,552.0,654.0,544.5,636.0,110867
2000-03-15,643.5,652.5,550.5,551.25,102358
2000-03-16,700.5,720.0,640.5,657.0,56750
2000-03-17,663.0,720.0,660.0,705.0,31350
2000-03-20,589.5,672.0,576.0,663.0,48208
2000-03-21,648.0,672.75,600.0,600.75,56092
2000-03-22,705.0,721.5,672.0,672.0,39200
2000-03-23,700.5,732.0,696.0,701.25,56717
2000-03-24,825.0,840.0,732.0,732.0,74317
2000-03-27,862.5,921.0,834.0,834.0,67067
2000-03-28,1050.0,1102.5,876.0,905.25,131075
2000-03-29,987.75,1122.0,903.0,1059.1875,114683
2000-03-30,978.0,1077.0,912.0,974.25,84042
2000-03-31,936.75,1026.0,934.5,1005.0,67942
2000-04-03,834.0,931.5,828.0,928.5,49192
2000-04-04,661.5,844.5,526.5,838.5,97950
2000-04-05,714.0,810.0,594.0,633.0,35742
2000-04-06,733.5,802.5,723.0,744.0,22975
2000-04-07,795.0,804.0,738.75,741.0,13475
2000-04-10,769.5,796.5,766.5,796.5,21258
2000-04-11,696.0,763.5,691.5,763.5,17433
2000-04-12,630.0,697.5,610.5,694.5,28992
2000-04-13,600.0,654.0,600.0,643.5,27900
2000-04-14,361.5,591.0,352.5,591.0,61775
2000-04-17,367.5,396.0,331.5,372.0,67425
2000-04-18,444.0,471.0,376.5,387.75,39300
2000-04-19,468.0,538.5,450.75,520.125,38658
2000-04-20,463.5,492.0,450.0,475.5,27842
2000-04-24,450.0,466.5,435.0,466.5,16450
2000-04-25,466.5,483.0,453.0,463.5,16825
2000-04-26,567.0,597.0,478.5,504.0,61842
2000-04-27,600.0,600.0,480.0,480.0,30842
2000-04-28,570.0,634.5,540.0,614.25,35825
2000-05-01,558.0,568.5,549.0,549.75,16225
2000-05-02,523.5,551.8125,519.0,529.5,14258
2000-05-03,517.5,520.5,475.5,516.0,17592
2000-05-04,508.5,570.0,496.5,505.875,18317
2000-05-05,531.0,552.0,510.0,517.5,7017
2000-05-08,522.0,537.0,504.0,519.0,4400
2000-05-09,492.0,532.5,492.0,532.5,11158
2000-05-10,465.0,498.0,462.0,496.5,6492
2000-05-11,468.0,496.5,459.0,476.25,6033
2000-05-12,438.0,496.5,438.0,489.0,9242
2000-05-15,426.75,435.0,402.0,432.0,12892
2000-05-16,510.0,519.0,442.5,444.0,21708
2000-05-17,550.5,550.5,465.0,486.0,12608
2000-05-18,528.75,574.5,528.0,540.0,16592
2000-05-19,499.5,528.0,474.0,525.0,10767
2000-05-22,481.5,498.0,468.0,481.5,26783
2000-05-23,472.5,480.0,468.0,480.0,27775
2000-05-24,432.0,468.0,409.5,465.0,28042
2000-05-25,453.0,480.0,442.5,465.0,84542
2000-05-26,403.5,459.0,399.0,459.0,17925
2000-05-30,423.0,436.5,408.0,426.0,22533
2000-05-31,459.0,474.0,430.5,433.125,25675
2000-06-01,248.25,336.0,219.1875,327.0,893217
2000-06-02,254.25,266.25,240.75,266.25,268117
2000-06-05,255.0,273.75,252.75,266.25,113358
2000-06-06,237.0,258.75,236.25,258.0,91842
2000-06-07,231.0,243.0,226.5,240.75,55158
2000-06-08,226.5,240.75,223.5,240.0,49575
2000-06-09,225.0,234.0,219.0,233.25,50608
2000-06-12,222.75,229.5,217.5,228.75,37683
2000-06-13,216.75,221.25,201.0,218.25,56658
2000-06-14,243.0,257.25,223.5,223.5,183317
2000-06-15,235.5,253.5,232.5,250.5,79750
2000-06-16,241.5,249.0,234.0,248.25,30192
2000-06-19,246.0,246.0,235.5,240.0,23142
2000-06-20,240.75,249.0,228.0,246.75,26767
2000-06-21,253.5,260.25,239.25,243.0,48592
2000-06-22,276.0,298.5,256.5,264.75,82542
2000-06-23,291.75,307.5,288.0,294.75,83983
2000-06-26,276.75,303.0,276.0,300.75,37300
2000-06-27,264.0,284.25,261.0,282.75,25125
2000-06-28,267.0,274.5,261.0,264.0,19875
2000-06-29,277.5,279.0,265.5,268.875,20108
2000-06-30,364.5,396.0,336.0,342.0,250500
2000-07-03,360.0,370.5,354.0,369.0,26308
2000-07-05,321.0,361.5,319.5,360.375,46133
2000-07-06,354.75,357.0,315.0,321.75,30808
2000-07-07,340.5,360.0,340.5,354.75,27825
2000-07-10,332.25,343.5,327.0,342.375,31942
2000-07-11,324.0,334.5,319.5,327.375,36675
2000-07-12,360.0,369.0,328.5,329.25,29875
2000-07-13,384.0,384.0,357.0,359.25,37125
2000-07-14,373.5,386.25,352.5,385.5,25292
2000-07-17,378.0,394.5,363.0,363.75,20258
2000-07-18,369.0,379.5,357.0,379.125,15883
2000-07-19,332.25,362.25,324.0,361.125,29708
2000-07-20,321.75,337.5,318.0,331.5,24675
2000-07-21,321.0,337.5,318.0,322.5,13458
2000-07-24,303.0,333.0,300.0,330.0,14508
2000-07-25,303.0,318.0,279.0,280.5,16067
2000-07-26,321.0,321.0,282.0,306.75,22350
2000-07-27,294.0,310.5,288.75,309.0,15658
2000-07-28,279.0,295.5,270.0,291.75,21042
2000-07-31,305.25,319.5,276.0,285.375,20800
2000-08-01,287.25,318.0,264.0,315.75,29108
2000-08-02,298.5,309.0,282.0,283.5,27925
2000-08-03,299.25,300.0,283.5,292.5,17800
2000-08-04,287.25,303.0,282.0,300.0,7992
2000-08-07,286.5,300.0,282.75,285.0,15058
2000-08-08,282.0,294.0,282.0,285.75,14575
2000-08-09,273.0,300.0,270.0,288.375,35325
2000-08-10,258.0,279.75,258.0,279.0,14575
2000-08-11,260.25,261.0,253.5,259.5,29267
