Date,close,high,low,open,volume
2014-01-02,0.25,0.25,0.25,0.25,520
2014-01-03,0.25,0.25,0.25,0.25,352
2014-01-06,0.25,0.25,0.25,0.25,480
2014-01-08,0.25,0.25,0.25,0.25,1000
2014-01-14,0.25,0.25,0.25,0.25,1200
2014-01-15,0.25,0.25,0.25,0.25,800
2014-01-16,0.25,0.25,0.25,0.25,400
2014-01-21,0.25,0.25,0.25,0.25,4400
2014-01-22,0.25,0.25,0.25,0.25,2200
2014-01-23,0.25,0.25,0.25,0.25,5882
2014-01-24,0.25,0.25,0.25,0.25,2360
2014-01-27,0.25,0.25,0.25,0.25,2400
2014-01-28,0.25,0.25,0.25,0.25,6718
2014-01-29,0.25,0.25,0.25,0.25,740
2014-01-30,0.25,0.25,0.25,0.25,1288
2014-01-31,0.25,0.25,0.25,0.25,1520
2014-02-03,0.25,0.25,0.25,0.25,17920
2014-02-04,0.25,0.25,0.25,0.25,24311
2014-02-05,0.5,0.5,0.25,0.25,51080
2014-02-06,0.25,0.5,0.25,0.5,12523
2014-02-07,0.25,0.5,0.25,0.25,14455
2014-02-10,0.5,0.5,0.25,0.5,16564
2014-02-11,1.25,1.25,0.5,0.5,379234
2014-02-12,2.5,3.0,0.75,1.25,541930
2014-02-13,2.5,3.0,1.75,2.5,173350
2014-02-14,2.0,2.5,1.75,2.5,154288
2014-02-18,1.25,1.75,1.0,1.5,291594
2014-02-19,2.0,2.25,1.0,1.5,220286
2014-02-20,2.25,2.25,1.5,2.0,111387
2014-02-21,2.25,2.5,1.75,2.5,110876
2014-02-24,4.75,5.5,2.0,2.25,339162
2014-02-25,3.75,5.25,3.25,5.0,159652
2014-02-26,3.5,5.0,2.5,4.75,136675
2014-02-27,3.5,4.0,2.75,3.5,89972
2014-02-28,3.25,4.5,3.0,3.75,108126
2014-03-03,8.25,8.25,3.75,4.0,356556
2014-03-04,4.0,8.75,3.5,8.5,609838
2014-03-05,4.25,4.75,3.75,4.5,277184
2014-03-06,3.75,4.75,3.25,4.25,142001
2014-03-07,3.5,4.25,3.0,3.5,64280
2014-03-10,3.0,3.5,2.5,3.5,130863
2014-03-11,3.25,4.25,3.0,3.5,162448
2014-03-12,3.25,3.5,2.75,3.25,51139
2014-03-13,3.0,3.5,2.5,3.25,38125
2014-03-14,3.25,3.25,2.25,3.0,108637
2014-03-17,3.25,3.5,2.5,3.25,48945
2014-03-18,2.5,3.25,2.5,2.75,33862
2014-03-19,3.0,3.75,2.5,2.75,133963
2014-03-20,2.75,3.5,2.5,3.5,30571
2014-03-21,2.75,3.25,2.25,2.5,47691
2014-03-24,2.25,2.25,1.5,1.5,122911
2014-03-25,2.0,2.25,1.75,2.25,25456
2014-03-26,2.25,2.25,1.75,1.75,34269
2014-03-27,2.0,2.5,1.75,2.25,28184
2014-03-28,2.25,2.25,1.75,1.75,20009
2014-03-31,2.75,2.75,2.0,2.0,43742
2014-04-01,2.5,2.75,2.25,2.75,41952
2014-04-02,2.25,2.5,2.0,2.5,31305
2014-04-03,2.0,2.5,1.75,2.25,47940
2014-04-04,2.5,2.75,2.0,2.0,96269
2014-04-07,2.5,2.75,2.25,2.5,30015
2014-04-08,2.5,2.75,2.0,2.75,16160
2014-04-09,2.25,2.5,2.0,2.5,7434
2014-04-10,2.0,2.5,2.0,2.5,16964
2014-04-11,2.25,2.5,2.0,2.5,12412
2014-04-14,2.25,2.5,2.0,2.25,10930
2014-04-15,2.0,2.25,2.0,2.0,14858
2014-04-16,2.0,2.25,1.75,1.75,42743
2014-04-17,1.5,2.0,1.5,1.75,9839
2014-04-21,1.75,2.0,1.5,1.75,11327
2014-04-22,2.0,2.0,1.75,2.0,5950
2014-04-23,2.75,2.75,1.75,1.75,95199
2014-04-24,2.75,2.75,2.25,2.75,22946
2014-04-25,2.75,2.75,2.5,2.5,20030
2014-04-28,3.75,3.75,2.75,2.75,87617
2014-04-29,3.0,4.0,2.75,3.75,52199
2014-04-30,2.5,3.5,2.0,3.5,70303
2014-05-01,2.25,2.5,1.75,2.5,38103
2014-05-02,2.0,2.25,1.75,2.25,30817
2014-05-05,2.25,2.25,1.75,2.0,8784
2014-05-06,2.0,2.25,1.75,2.0,19526
2014-05-07,2.0,2.0,1.75,2.0,39803
2014-05-08,1.75,2.0,1.5,2.0,15254
2014-05-09,1.75,1.75,1.5,1.5,7197
2014-05-12,1.75,2.0,1.5,1.75,6324
2014-05-13,1.75,1.75,1.25,1.75,35825
2014-05-14,1.5,2.0,1.25,1.75,25778
2014-05-15,1.5,1.75,1.25,1.75,29920
2014-05-16,1.5,1.75,1.25,1.5,4090
2014-05-19,1.25,1.5,1.0,1.5,63631
2014-05-20,1.0,1.25,0.75,1.25,67184
2014-05-21,1.0,1.25,0.75,0.75,22007
2014-05-22,1.25,1.75,1.0,1.25,64145
2014-05-23,1.5,1.5,1.0,1.5,17527
2014-05-27,1.0,1.5,1.0,1.5,20715
2014-05-28,1.5,1.5,1.0,1.25,11519
2014-05-29,1.25,1.5,1.0,1.5,20590
2014-05-30,1.25,1.5,1.0,1.25,7386
2014-06-02,1.5,1.5,1.25,1.25,2558
2014-06-03,1.5,1.5,1.25,1.5,9996
2014-06-04,1.5,1.5,1.25,1.5,9754
2014-06-05,1.5,1.5,1.25,1.5,4405
2014-06-06,1.25,1.5,1.25,1.5,13985
2014-06-09,1.5,1.5,1.25,1.5,7800
2014-06-10,1.5,1.5,1.25,1.5,3843
2014-06-11,1.25,1.5,1.0,1.5,5900
2014-06-12,1.25,1.5,1.0,1.25,1711
2014-06-13,1.25,1.5,1.0,1.25,6257
2014-06-16,1.25,1.25,1.0,1.25,1650
2014-06-17,1.5,1.5,1.25,1.5,3846
2014-06-18,1.25,1.5,1.25,1.25,3011
2014-06-19,1.5,1.5,1.25,1.25,2909
2014-06-20,1.5,1.5,1.0,1.5,15685
2014-06-23,1.5,1.5,1.0,1.5,12999
2014-06-24,1.5,1.5,1.25,1.5,5447
2014-06-25,1.25,1.5,1.0,1.5,3179
2014-06-26,1.25,1.25,1.0,1.0,12935
2014-06-27,1.25,1.5,1.0,1.25,10125
2014-06-30,1.25,1.5,1.0,1.25,15747
2014-07-01,1.0,1.25,1.0,1.0,3481
2014-07-02,1.25,1.25,1.0,1.25,5118
2014-07-03,1.25,1.25,1.25,1.25,966
2014-07-07,1.25,1.25,1.0,1.25,4818
2014-07-08,1.0,1.25,1.0,1.0,2314
2014-07-09,1.25,1.25,1.0,1.25,3052
2014-07-10,1.0,1.0,1.0,1.0,1504
2014-07-11,1.25,1.25,1.0,1.25,3726
2014-07-14,1.0,1.25,1.0,1.25,1696
2014-07-15,1.25,1.25,1.0,1.25,715
2014-07-16,1.0,1.25,1.0,1.25,3169
2014-07-17,1.25,1.25,1.0,1.0,3998
2014-07-18,1.25,1.25,0.75,1.25,13908
2014-07-21,1.0,1.0,0.75,1.0,16894
2014-07-22,1.0,1.0,0.75,1.0,678
2014-07-23,1.0,1.0,0.75,0.75,1670
2014-07-24,1.0,1.0,0.75,0.75,2523
2014-07-25,1.0,1.0,0.75,1.0,7260
2014-07-28,1.25,1.25,0.75,1.0,4736
2014-07-29,1.75,2.0,1.25,1.25,84008
2014-07-30,1.75,2.0,1.5,1.75,9837
2014-07-31,1.75,1.75,1.25,1.75,26000
2014-08-01,1.75,1.75,1.5,1.75,5710
2014-08-04,1.75,2.0,1.5,1.75,24622
2014-08-05,1.75,2.0,1.5,1.75,8004
