Date,close,high,low,open,volume
2023-08-11,298350.3125,437940.4375,238950.234375,423000.4375,13
2023-08-14,225000.21875,314995.8125,159300.15625,234000.234375,17
2023-08-15,233545.734375,286600.78125,184504.6875,219150.21875,6
2023-08-16,167400.171875,256050.25,158850.15625,225450.21875,3
2023-08-17,180000.1875,208800.203125,163350.15625,163800.15625,3
2023-08-18,295650.28125,391500.40625,181350.1875,189900.1875,121
2023-08-21,224550.21875,282150.28125,202500.203125,280350.28125,14
2023-08-22,202500.203125,229486.734375,192150.1875,219150.21875,8
2023-08-23,198000.203125,216000.21875,192154.6875,200250.203125,2
2023-08-24,195300.1875,210150.203125,189004.6875,197100.203125,1
2023-08-25,184500.1875,195750.203125,173875.671875,186300.1875,2
2023-08-28,175050.171875,192150.1875,165150.171875,183600.1875,1
2023-08-29,169650.171875,178200.171875,162000.15625,177750.171875,0
2023-08-30,148500.15625,175495.671875,138600.140625,162900.15625,1
2023-08-31,166500.171875,173250.171875,146250.140625,153000.15625,4
2023-09-01,164250.171875,173250.171875,147150.140625,163800.15625,1
2023-09-05,175500.171875,184500.1875,165600.171875,165600.171875,2
2023-09-06,177300.171875,179100.171875,157612.65625,178200.171875,1
2023-09-07,169875.171875,175050.171875,162900.15625,171900.171875,0
2023-09-08,157050.15625,170100.171875,153454.65625,164700.171875,0
2023-09-11,159750.15625,167184.171875,153000.15625,153000.15625,0
2023-09-12,158850.15625,164250.171875,151200.15625,159750.15625,0
2023-09-13,148932.15625,161100.15625,142200.140625,148500.15625,1
2023-09-14,141750.140625,154350.15625,141750.140625,144450.140625,0
2023-09-15,136800.140625,147150.140625,128700.125,141750.140625,1
2023-09-18,121950.125,141138.140625,119250.1171875,138600.140625,0
2023-09-19,119025.1171875,136350.140625,112500.109375,135450.140625,1
2023-09-20,112950.109375,129042.1328125,110700.109375,114750.1171875,2
2023-09-21,112500.109375,134550.140625,110700.109375,122850.125,1
2023-09-22,118125.1171875,123750.125,107275.609375,112500.109375,1
2023-09-25,138150.140625,146250.140625,109350.109375,109350.109375,2
2023-09-26,152550.15625,153000.15625,132750.125,132750.125,0
2023-09-27,151650.15625,184950.1875,135900.140625,170100.171875,6
2023-09-28,135450.140625,166500.171875,135450.140625,144900.140625,1
2023-09-29,145125.140625,155700.15625,135450.140625,135450.140625,1
2023-10-02,143100.140625,157500.15625,138928.640625,157500.15625,0
2023-10-03,138600.140625,150750.15625,135900.140625,139500.140625,0
2023-10-04,135000.140625,147334.640625,124200.125,136350.140625,0
2023-10-05,126000.125,134550.140625,121950.125,126450.125,0
2023-10-06,111150.109375,124200.125,108904.609375,122994.125,0
2023-10-09,113850.1171875,115420.6171875,105804.109375,114750.1171875,0
2023-10-10,106650.109375,134550.140625,106650.109375,112500.109375,0
2023-10-11,105750.109375,113044.609375,104850.1015625,107100.109375,0
2023-10-12,112050.109375,117000.1171875,107550.109375,112500.109375,0
2023-10-13,110700.109375,117000.1171875,107554.609375,110250.109375,0
2023-10-16,108900.109375,119250.1171875,108094.609375,118800.1171875,0
2023-10-17,110250.109375,117000.1171875,108000.109375,108000.109375,0
2023-10-18,98100.1015625,114750.1171875,94324.59375,111150.109375,0
2023-10-19,94050.09375,108900.109375,94050.09375,103050.1015625,0
2023-10-20,99450.1015625,103050.1015625,94950.09375,99000.1015625,0
2023-10-23,95400.09375,101538.1015625,95400.09375,99450.1015625,0
2023-10-24,90000.09375,94050.09375,90000.09375,90450.09375,0
2023-10-25,81000.078125,90450.09375,79650.078125,90000.09375,0
2023-10-26,81450.078125,87750.0859375,78750.078125,85050.0859375,0
2023-10-27,63450.0625,78750.078125,62136.0625,78750.078125,0
2023-10-30,68400.0703125,68400.0703125,63450.0625,63450.0625,0
2023-10-31,67050.0703125,67500.0703125,63454.5625,63900.0625,0
2023-11-01,49500.05078125,67050.0703125,45904.546875,61650.0625,1
2023-11-02,53100.0546875,62100.0625,49954.55078125,62100.0625,0
2023-11-03,51300.05078125,57150.05859375,49950.05078125,49950.05078125,0
2023-11-06,52200.05078125,61074.0625,52200.05078125,56700.05859375,1
2023-11-07,52650.05078125,59211.05859375,49950.05078125,50850.05078125,0
2023-11-08,52200.05078125,55350.0546875,50850.05078125,51619.55078125,0
2023-11-09,47250.046875,55350.0546875,46849.546875,54900.0546875,0
2023-11-10,48150.046875,52222.55078125,48150.046875,52222.55078125,0
2023-11-13,47250.046875,60300.05859375,47250.046875,50400.05078125,0
2023-11-14,57600.05859375,61650.0625,52200.05078125,57150.05859375,1
2023-11-15,61200.0625,70200.0703125,54000.0546875,58050.05859375,1
2023-11-16,59400.05859375,83700.0859375,56250.0546875,66150.0625,3
2023-11-17,67050.0703125,72000.0703125,57609.05859375,58500.05859375,0
2023-11-20,68400.0703125,70200.0703125,58504.55859375,64800.06640625,0
2023-11-21,66600.0703125,67050.0703125,59521.55859375,67050.0703125,0
2023-11-22,67500.0703125,74250.078125,65250.06640625,67050.0703125,0
2023-11-24,73800.0703125,73800.0703125,69750.0703125,73800.0703125,0
2023-11-27,68850.0703125,74241.078125,65250.06640625,73800.0703125,0
2023-11-28,69750.0703125,72000.0703125,63828.0625,72000.0703125,0
2023-11-29,76950.078125,84600.0859375,71014.5703125,71550.0703125,2
2023-11-30,76950.078125,87300.0859375,72000.0703125,87300.0859375,1
2023-12-01,76500.078125,82350.0859375,74250.078125,80550.078125,0
2023-12-04,66600.0703125,80662.578125,66600.0703125,80550.078125,1
2023-12-05,67950.0703125,69750.0703125,65254.56640625,67500.0703125,0
2023-12-06,67950.0703125,73800.0703125,66150.0625,73800.0703125,0
2023-12-07,72000.0703125,72000.0703125,64800.06640625,64800.06640625,0
2023-12-08,72513.0703125,84600.0859375,68400.0703125,68400.0703125,0
2023-12-11,135900.140625,171000.171875,81900.078125,83250.0859375,1911
2023-12-12,121500.125,144900.140625,114300.1171875,133200.140625,72
2023-12-13,126000.125,134100.140625,103500.1015625,105300.1015625,28
2023-12-14,141750.140625,166500.171875,119250.1171875,124200.125,38
2023-12-15,161550.15625,201150.203125,138600.140625,144000.140625,134
2023-12-18,134550.140625,154300.65625,130500.1328125,144000.140625,8
2023-12-19,116104.6171875,132750.125,108000.109375,129150.1328125,7
2023-12-20,127350.125,129150.1328125,116100.1171875,117900.1171875,5
2023-12-21,129150.1328125,146250.140625,125833.625,129600.1328125,5
2023-12-22,118350.1171875,132750.125,114750.1171875,129600.1328125,2
2023-12-26,72000.0703125,121500.125,72000.0703125,117450.1171875,6
2023-12-27,85500.0859375,100350.1015625,82350.0859375,97650.09375,104
2023-12-28,70650.0703125,85050.0859375,67500.0703125,84600.0859375,18
2023-12-29,64800.06640625,75150.078125,63054.0625,69750.0703125,12
2024-01-02,65250.06640625,72000.0703125,63900.0625,67050.0703125,3
2024-01-03,64800.06640625,67500.0703125,60750.0625,67500.0703125,2
2024-01-04,67500.0703125,67950.0703125,63450.0625,65250.06640625,2
2024-01-05,67050.0703125,71995.5703125,65425.56640625,66600.0703125,2
2024-01-08,63450.0625,68850.0703125,63450.0625,68850.0703125,1
2024-01-09,60300.05859375,70200.0703125,58950.05859375,70200.0703125,2
2024-01-10,54450.0546875,63000.0625,53100.0546875,63000.0625,4
2024-01-11,50400.05078125,55800.0546875,49500.05078125,54900.0546875,2
2024-01-12,61200.0625,68400.0703125,52200.05078125,53550.0546875,104
2024-01-16,60300.05859375,62100.0625,52650.05078125,58500.05859375,14
